,outcome,expected_outcome
circuit946.qasm,0,0
circuit704.qasm,0,1
circuit094.qasm,1,1
circuit488.qasm,1,1
circuit379.qasm,0,0
circuit537.qasm,0,1
circuit844.qasm,1,0
circuit371.qasm,0,0
circuit829.qasm,1,1
circuit054.qasm,1,1
circuit609.qasm,1,0
circuit633.qasm,1,0
circuit610.qasm,1,0
circuit320.qasm,0,0
circuit669.qasm,1,0
circuit593.qasm,0,0
circuit677.qasm,0,0
circuit323.qasm,1,1
circuit423.qasm,1,1
circuit053.qasm,0,0
circuit263.qasm,0,1
circuit265.qasm,0,0
circuit304.qasm,1,0
circuit509.qasm,0,0
circuit994.qasm,1,1
circuit157.qasm,1,1
circuit819.qasm,0,0
circuit540.qasm,0,0
circuit568.qasm,0,0
circuit841.qasm,1,0
circuit900.qasm,0,0
circuit898.qasm,1,1
circuit108.qasm,1,0
circuit959.qasm,1,1
circuit059.qasm,1,1
circuit690.qasm,1,1
circuit842.qasm,0,0
circuit517.qasm,1,1
circuit127.qasm,0,1
circuit639.qasm,1,1
circuit998.qasm,0,0
circuit064.qasm,0,0
circuit524.qasm,0,0
circuit944.qasm,1,1
circuit710.qasm,0,1
circuit887.qasm,0,0
circuit851.qasm,0,1
circuit277.qasm,0,0
circuit406.qasm,1,0
circuit917.qasm,1,1
circuit760.qasm,0,0
circuit790.qasm,0,0
circuit205.qasm,1,1
circuit622.qasm,1,1
circuit629.qasm,1,0
circuit820.qasm,1,0
circuit318.qasm,0,0
circuit362.qasm,0,1
circuit341.qasm,0,0
circuit675.qasm,0,1
circuit148.qasm,0,1
circuit661.qasm,1,0
circuit569.qasm,0,1
circuit792.qasm,0,0
circuit104.qasm,1,0
circuit935.qasm,1,0
circuit892.qasm,1,1
circuit122.qasm,0,0
circuit444.qasm,1,0
circuit454.qasm,1,1
circuit611.qasm,0,1
circuit591.qasm,0,0
circuit853.qasm,1,1
circuit983.qasm,1,0
circuit414.qasm,1,1
circuit076.qasm,1,0
circuit709.qasm,0,0
circuit264.qasm,0,1
circuit370.qasm,0,1
circuit586.qasm,0,0
circuit968.qasm,1,0
circuit098.qasm,0,0
circuit340.qasm,0,0
circuit828.qasm,0,1
circuit199.qasm,0,0
circuit347.qasm,1,1
circuit366.qasm,0,0
circuit162.qasm,0,0
circuit106.qasm,0,1
circuit684.qasm,0,1
circuit860.qasm,0,0
circuit992.qasm,1,0
circuit467.qasm,0,0
circuit533.qasm,1,1
circuit020.qasm,1,1
circuit747.qasm,0,0
circuit016.qasm,1,0
circuit863.qasm,0,0
circuit389.qasm,0,0
circuit594.qasm,0,1
